source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
The Straits Times,,2020-06-27 21:59:26,"""I appreciate LFC fans want to celebrate but please, for your own safety, and that of others, go home and celebrate at home,"" said the mayor of Liverpool.",125,105,12,6,1,,,,10157164241212115,/story.php?story_fbid=10157164241212115&id=129011692114
The Straits Times,,2020-06-27 21:59:26,"""I appreciate LFC fans want to celebrate but please, for your own safety, and that of others, go home and celebrate at home,"" said the mayor of Liverpool.",125,105,12,6,1,,,,10157164241212115,/story.php?story_fbid=10157164241212115&id=129011692114
The Straits Times,,2020-06-27 21:36:58,"PAP candidate Ivan Lim, who was criticised online for being arrogant and elitist, has decided not to contest to avoid affecting the party's work during the elections.  Full story here: https://str.sg/JmTQ",1.5K,896,545,34,76,26,4,,10157164180817115,/story.php?story_fbid=10157164180817115&id=129011692114
The Straits Times,,2020-06-27 21:27:24,"""When I first got involved in politics, I told my wife to give me 15 years. But now I might be crossing 20 years,"" said Mr Goh. ""I don't want to put my family through too much."" Follow full #GE2020 coverage here: https://str.sg/JW74",146,103,32,2,6,1,1,,10157164165777115,/story.php?story_fbid=10157164165777115&id=129011692114
The Straits Times,,2020-06-27 21:11:50,"DPM Heng, who was meeting hawkers and residents at Teban Gardens Market and Food Centre, said he was glad to hear that many were helped by the financial support measures in the Budget.  Follow full #GE2020 coverage here: https://str.sg/JW74",187,152,19,7,3,1,4,,10157164145572115,/story.php?story_fbid=10157164145572115&id=129011692114
The Straits Times,,2020-06-27 20:56:41,"""It is rather disconcerting to us because traditionally in a live rally, the candidates will present their ideas directly to the voters and the residents,"" said PSP organising secretary Michael Chua. Follow full #GE2020 coverage here: https://str.sg/JW74",187,155,20,1,6,,3,,10157164121132115,/story.php?story_fbid=10157164121132115&id=129011692114
The Straits Times,,2020-06-27 20:41:35,"This is the first time that Gurugram, home to some of the world's top corporations, has faced a locust attack.",511,258,7,,164,79,,,10157164096912115,/story.php?story_fbid=10157164096912115&id=129011692114
The Straits Times,,2020-06-27 20:08:57,"Move over, Zoom and YouTube. This app shows not only exercise videos, but also gives real-time feedback on form and movement.",64,58,,,6,,,,10157164042142115,/story.php?story_fbid=10157164042142115&id=129011692114
The Straits Times,,2020-06-27 19:29:55,"Some in the ruling Perikatan Nasional wish for ballots as early as August, while the opposition PH is in shambles.",121,95,18,4,2,,1,,10157163979247115,/story.php?story_fbid=10157163979247115&id=129011692114
The Straits Times,,2020-06-27 19:07:03,"Besides the usual staples of pins, flags and T-shirts, several parties are banking on plushies of their mascots, and one party even has a clay figurine of its chairman for sale. Follow full #GE2020 coverage here: https://str.sg/JW74",161,132,21,3,1,,4,,10157163950742115,/story.php?story_fbid=10157163950742115&id=129011692114
The Straits Times,,2020-06-27 18:27:30,"From West Coast to Pasir Ris, politicians from the various parties could be seen meeting residents. Follow full #GE2020 coverage here: https://str.sg/JW74",171,166,1,2,2,,,,10157163893267115,/story.php?story_fbid=10157163893267115&id=129011692114
The Straits Times,,2020-06-27 17:50:30,"Family members carrying off the bodies of loved ones - suspected to have died from the coronavirus - is one of the reasons why infections continue to rise in East Java, said the head of the country's Covid-19 task force.",163,107,10,2,8,32,3,,10157163848002115,/story.php?story_fbid=10157163848002115&id=129011692114
The Straits Times,,2020-06-27 17:20:15,Mr Singh said the PAP will have a strong mandate even if the WP wins all the 21 seats it is contesting. He also responded to a question on how the WP would react if its candidates find themselves in the same circumstances as PAP’s new face Ivan Lim. Follow full #GE2020 coverage here: https://str.sg/JW74,509,462,8,22,1,,3,,10157163815112115,/story.php?story_fbid=10157163815112115&id=129011692114
The Straits Times,,2020-06-27 17:00:27,Mr Trump's poll numbers are painting a dire picture for his chances at re-election 📉.,208,138,61,5,,1,1,,10157163794042115,/story.php?story_fbid=10157163794042115&id=129011692114
The Straits Times,,2020-06-27 16:33:14,This will facilitate cross-border travel for essential business and official purposes between both countries. Travellers will have to adhere to Covid-19 measures that are still being discussed.,627,577,14,7,21,2,3,,10157163765702115,/story.php?story_fbid=10157163765702115&id=129011692114
The Straits Times,,2020-06-27 15:46:27,The man played badminton with a large group and there was cross-mixing of players across multiple courts despite rules prohibiting that.,HO Ching and 2.8K others,1.4K,127,4,409,193,635,,10157163700227115,/story.php?story_fbid=10157163700227115&id=129011692114
The Straits Times,,2020-06-27 15:41:17,"Victoria recorded 41 new Covid-19 cases, which is double the daily rate seen by the Australian state a week ago.",194,137,2,2,22,30,,,10157163695567115,/story.php?story_fbid=10157163695567115&id=129011692114
The Straits Times,,2020-06-27 15:16:59,"🔴 JUST IN: There are 11 Covid-19 cases in the community, including 5 Singaporeans or permanent residents and 6 work pass holders.",1.8K,1.2K,20,10,173,359,19,,10157163664997115,/story.php?story_fbid=10157163664997115&id=129011692114
The Straits Times,,2020-06-27 15:11:13,"The sum will go towards co-funding extra costs construction companies have to incur to comply with more stringent virus-safety measures, as well as costs they have incurred due to the delay of projects.",260,233,3,5,12,1,4,,10157163639162115,/story.php?story_fbid=10157163639162115&id=129011692114
The Straits Times,,2020-06-27 14:50:27,DPP will instead support the informal alliance with Reform Party and People's Power Party. This means there are currently 10 opposition parties looking to contest GE2020. Follow full #GE2020 coverage here: https://str.sg/JW74,146,119,20,4,1,,1,,10157163593017115,/story.php?story_fbid=10157163593017115&id=129011692114
The Straits Times,,2020-06-27 14:31:07,"Mr Lim, 52, says he believes the party's younger generation is ready to take over. Follow full #GE2020 coverage here: https://str.sg/JW74",69,60,6,,3,,,,10157163564832115,/story.php?story_fbid=10157163564832115&id=129011692114
The Straits Times,,2020-06-27 14:12:54,"This means there could be as many candidates for 93 seats in Parliament, although a number of parties typically apply for additional or standby certificates. Follow full #GE2020 coverage here: https://str.sg/JW74",57,55,2,,,,,,10157163478102115,/story.php?story_fbid=10157163478102115&id=129011692114
The Straits Times,,2020-06-27 13:40:33,"UPDATE: Ivan Lim has withdrawn from contesting the general election. Full story: https://str.sg/JmTQ ""I believe in working together and I did not ask the men to do something I was not prepared to do myself,"" says Mr Lim, in response to online criticisms about his behaviour during national service.",1.6K,531,618,9,37,13,433,,10157162751892115,/story.php?story_fbid=10157162751892115&id=129011692114
