source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
,,2020-06-25 17:07:58,"THE BIG STORY: ESM Goh Chok Tong retires from politics | WP's Low Thia Khiang, Chen Show Mao, Png Eng Huat not contesting in GE2020 #thebigstory #stbigstory #generalelection #ge2020 #coronavirus #covid19",300,246,10,36,3,2,2,,257696672199530,/story.php?story_fbid=257696672199530&id=129011692114
The Straits Times,,2020-06-25 15:15:13,"🔴 JUST IN: Singapore confirms 113 new Covid-19 cases, including 5 in the community.",1.3K,1.1K,5,12,34,115,3,,10157154525597115,/story.php?story_fbid=10157154525597115&id=129011692114
The Straits Times,,2020-06-25 13:05:17,GNC had been trying to reduce its nearly US$900 million debt load amid falling sales at its US stores when the coronavirus pandemic hit.,313,178,5,,59,70,,,10157154337532115,/story.php?story_fbid=10157154337532115&id=129011692114
The Straits Times,,2020-06-25 11:00:51,"The US recorded more than 35,900 Covid-19 cases in the past 24 hours, bringing the total tally in the country to nearly 2.4 million.",277,152,8,1,57,52,4,,10157154141382115,/story.php?story_fbid=10157154141382115&id=129011692114
The Straits Times,,2020-06-25 10:49:46,Supporters were usually allowed in nomination centres during previous elections. But they will not be able to do so this time round due to the Covid-19 pandemic.,94,86,4,,,,4,,10157154125502115,/story.php?story_fbid=10157154125502115&id=129011692114
The Straits Times,,2020-06-25 10:23:18,New clusters have emerged in Melbourne following a spike of almost 150 new Covid-19 infections in Victoria.,330,207,3,,57,62,,,10157154063502115,/story.php?story_fbid=10157154063502115&id=129011692114
The Straits Times,,2020-06-25 09:00:36,The World Health Organization (WHO) is expecting the world to reach a total of 10 million Covid-19 cases within the next week.,173,105,3,,29,32,1,,10157153850982115,/story.php?story_fbid=10157153850982115&id=129011692114
The Straits Times,,2020-06-24 22:24:22,What do you think about Singapore holding the coming election amid the Covid-19 pandemic? We speak to Singaporeans to find out. How this election will be different from past polls: https://str.sg/JW9p,177,155,11,1,5,1,3,,10157152486092115,/story.php?story_fbid=10157152486092115&id=129011692114
The Straits Times,,2020-06-24 20:25:45,"As Singapore's election is being held amid the Covid-19 pandemic, there are new safety measures when polling takes place. Here's a guide on what to do on Polling Day: ",493,470,9,6,4,,2,,10157152217177115,/TheStraitsTimes/photos/a.10150602946322115/10157152217177115
The Straits Times,,2020-06-24 19:17:46,"Mr Lee Hsien Yang has joined the Progress Singapore Party.  Party chief Tan Cheng Bock said Mr Lee has been a member ""for quite some time"", but they were unable to have a membership card presentation ceremony due to the Covid-19 situation. https://str.sg/JWj5",597,480,43,24,9,3,35,,10157152087692115,/story.php?story_fbid=10157152087692115&id=129011692114
The Straits Times,,2020-06-24 18:44:53,"According to the area’s Covid-19 task force chief, the baby contracted the virus from neighbours who visited him.",1.8K,385,1,3,112,1.3K,26,,10157152016517115,/story.php?story_fbid=10157152016517115&id=129011692114
,,2020-06-24 17:06:31,"THE BIG STORY: PAP unveils 8 new candidates for GE2020 | Lee Hsien Yang joins PSP | Shanmugam says jobs, healthcare should be focus at GE2020 #thebigstory #stbigstory #generalelection #ge2020 #coronavirus #covid19",452,317,11,73,4,3,35,,268684830870778,/story.php?story_fbid=268684830870778&id=129011692114
The Straits Times,,2020-06-24 15:16:32,"🔴 JUST IN: Singapore confirms 191 new Covid-19 cases in S'pore. There are 7 cases in the community, including 2 Singaporeans or PRs.",1.6K,1.3K,14,4,113,213,6,,10157151760787115,/story.php?story_fbid=10157151760787115&id=129011692114
The Straits Times,,2020-06-24 14:50:35,Monkeys in Lopburi are going bananas as tourists - and free food - disappeared because of the Covid-19 outbreak.,96,73,10,,9,2,1,,10157151730972115,/story.php?story_fbid=10157151730972115&id=129011692114
The Straits Times,,2020-06-24 12:00:12,SPONSORED: Looking for support amid the Covid-19 pandemic? Find out how these digital services can help you and your business. https://str.sg/JWSj,52,48,,,,,,,10157151474652115,/story.php?story_fbid=10157151474652115&id=129011692114
The Straits Times,,2020-06-23 23:41:03,The man is the 11th person in Singapore who tested positive for Covid-19 but died from other causes.,1.3K,748,3,3,136,449,2,,10157149915707115,/story.php?story_fbid=10157149915707115&id=129011692114
The Straits Times,,2020-06-23 21:10:33,Novak Djokovic is the fourth player to test positive for Covid-19 after playing in his Adria Tour exhibition tournament.,327,171,13,1,71,62,2,,10157149592777115,/story.php?story_fbid=10157149592777115&id=129011692114
The Straits Times,,2020-06-23 20:00:00,#GE2020 will be a different general election for Singapore amid the Covid-19 pandemic. Here's a guide on what to do on Polling Day on July 10. https://str.sg/JWDh,279,254,9,3,7,,3,,10157149421907115,/story.php?story_fbid=10157149421907115&id=129011692114
The Straits Times,,2020-06-23 18:12:22,This general election will be unique in Singapore's history due to the measures in place amid the Covid-19 pandemic. Here's a look at the changes and new measures.,304,288,3,5,1,1,2,,10157149287947115,/story.php?story_fbid=10157149287947115&id=129011692114
The Straits Times,,2020-06-23 17:26:56,"The decision to call the general election now will allow the new government to focus on the national agenda, which includes handling the coronavirus pandemic, the economy and jobs.",325,255,27,5,6,1,26,,10157149228017115,/story.php?story_fbid=10157149228017115&id=129011692114
,,2020-06-23 17:12:22,THE BIG STORY: GE2020 - Polling Day on July 10. What are the changes to this S'pore GE and where are the hotly contested areas? #thebigstory #stbigstory #coronavirus #generalelection #ge2020,472,372,8,50,4,7,25,,3992639384110949,/story.php?story_fbid=3992639384110949&id=129011692114
,,2020-06-23 16:22:35,THE BIG STORY: S'pore GE - Polling Day to be held on July 10 #thebigstory #stbigstory #coronavirus #covid19 #generalelection #ge2020,206,149,1,38,8,,5,,1305974962947004,/story.php?story_fbid=1305974962947004&id=129011692114
The Straits Times,,2020-06-23 15:25:49,"JUST IN: Singapore confirms 119 new Covid-19 cases. There are 3 cases in the community, including 1 Singapore PR.",HO Ching and 1.1K others,1K,6,28,30,54,1,,10157149040347115,/story.php?story_fbid=10157149040347115&id=129011692114
The Straits Times,,2020-06-23 10:20:49,"The Covid-19 pandemic has revealed inconsistencies when it comes to how freelancers are treated, and theatre practitioners plan to fix that.",72,69,2,,,1,,,10157148515352115,/story.php?story_fbid=10157148515352115&id=129011692114
The Straits Times,,2020-06-23 07:50:41,NEA also said the incidence of mosquito larvae detected in homes and common corridors increased by 5 times during the recent circuit breaker.,261,228,9,1,21,2,,,10157148155857115,/story.php?story_fbid=10157148155857115&id=129011692114
The Straits Times,,2020-06-22 23:09:09,"2 Sheng Siong supermarkets, in Jurong West and Serangoon North, and an NTUC FairPrice outlet in Jalan Kayu were visited by Covid-19 patients while they were still infectious.",992,619,9,3,196,147,15,,10157147054977115,/story.php?story_fbid=10157147054977115&id=129011692114
"The Straits Times,sgsme.sg",,2020-06-22 22:00:07,"The pace of sales has picked up compared to the circuit breaker, possibly due to pent-up demand.",24,24,,,,,,,10157146181002115,/story.php?story_fbid=10157146181002115&id=129011692114
,,2020-06-22 16:59:15,THE BIG STORY: Low retail sales during phase 2's first weekend | S'pore GE walkabouts: safe distancing difficulties on the campaign trail | Vivian Balakrishnan on growth industries post-Covid-19 #thebigstory #stbigstory #coronavirus #covid19 #generalelection #vivianbalakrishnan,258,205,1,40,3,1,4,,2977385025664543,/story.php?story_fbid=2977385025664543&id=129011692114
The Straits Times,,2020-06-22 15:14:37,"🔴 JUST IN: Singapore confirms 218 new Covid-19 cases. There is 1 case in the community, involving a work pass holder.",1.3K,1.1K,11,5,25,117,2,,10157146287762115,/story.php?story_fbid=10157146287762115&id=129011692114
The Straits Times,,2020-06-22 11:12:23,"JUST IN: MRT network expansion plans will be delayed due to Covid-19, but the authorities are still looking to fulfil its target of a 360km network by early 2030s.",469,403,26,7,12,20,,,10157145882922115,/story.php?story_fbid=10157145882922115&id=129011692114
The Straits Times,,2020-06-22 10:45:08,"A huge Merlion kite created by Mr Johnny Yap and his wife Maggie Mok, both 45, outside their flat in Bedok. They sometimes inflate the kites to check for tears or damage.  During the circuit breaker, the hobbyists could not fly their giant kites at Marina Barrage, but they took the time to repair and spruce up their creations.   Photo: Mark Cheong",662,562,48,37,10,,,,10157145840627115,/TheStraitsTimes/photos/a.10150580907907115/10157145840627115
The Straits Times,,2020-06-21 23:45:12,A 22-year-old NTU student is among the 10 new Covid-19 community cases. He was tested after seeking treatment for acute respiratory infection.,1.4K,987,18,4,229,199,14,,10157144342042115,/story.php?story_fbid=10157144342042115&id=129011692114
