source,reply_to,date,reactions,text,source_url,url
SyukurAsyuk X NuratikaDicaprio,,2020-06-24,,"tsk, everytime got cancelled. 🙄",/nuratikabelo?rc=p&refid=52&_ft_=mf_story_key.10157150906107115%3Atop_level_post_id.10157150906107115%3Atl_objid.10157150906107115%3Acontent_owner_id_new.129011692114%3Athrowback_story_fbid.10157150906107115%3Apage_id.129011692114%3Astory_location.4%3Astory_attachment_style.share%3Atds_flgs.3%3Apage_insights.%7B%22129011692114%22%3A%7B%22page_id%22%3A129011692114%2C%22page_id_type%22%3A%22page%22%2C%22actor_id%22%3A129011692114%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A266%2C%22publish_time%22%3A1592954138%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22story_fbid%22%3A%5B10157150906107115%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A129011692114%2C%22page_id%22%3A129011692114%2C%22post_id%22%3A10157150906107115%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.129011692114&__tn__=R,https://mbasic.facebook.com/story.php?story_fbid=10157150906107115&id=129011692114&refid=17&_ft_=mf_story_key.10157150906107115%3Atop_level_post_id.10157150906107115%3Atl_objid.10157150906107115%3Acontent_owner_id_new.129011692114%3Athrowback_story_fbid.10157150906107115%3Apage_id.129011692114%3Astory_location.4%3Astory_attachment_style.share%3Atds_flgs.3%3Apage_insights.%7B%22129011692114%22%3A%7B%22page_id%22%3A129011692114%2C%22page_id_type%22%3A%22page%22%2C%22actor_id%22%3A129011692114%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A266%2C%22publish_time%22%3A1592954138%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22story_fbid%22%3A%5B10157150906107115%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A129011692114%2C%22page_id%22%3A129011692114%2C%22post_id%22%3A10157150906107115%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.129011692114%3A306061129499414%3A2%3A0%3A1593586799%3A-5424301327094026844&__tn__=%2AW-R
Ranjit Narayanasamy,,2020-06-24,1,Sandra Soloman thier rides wont be cheap anymore!!!,/ranjit.narayanasamy?rc=p&refid=52&_ft_=mf_story_key.10157150906107115%3Atop_level_post_id.10157150906107115%3Atl_objid.10157150906107115%3Acontent_owner_id_new.129011692114%3Athrowback_story_fbid.10157150906107115%3Apage_id.129011692114%3Astory_location.4%3Astory_attachment_style.share%3Atds_flgs.3%3Apage_insights.%7B%22129011692114%22%3A%7B%22page_id%22%3A129011692114%2C%22page_id_type%22%3A%22page%22%2C%22actor_id%22%3A129011692114%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A266%2C%22publish_time%22%3A1592954138%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22story_fbid%22%3A%5B10157150906107115%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A129011692114%2C%22page_id%22%3A129011692114%2C%22post_id%22%3A10157150906107115%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.129011692114&__tn__=R,https://mbasic.facebook.com/story.php?story_fbid=10157150906107115&id=129011692114&refid=17&_ft_=mf_story_key.10157150906107115%3Atop_level_post_id.10157150906107115%3Atl_objid.10157150906107115%3Acontent_owner_id_new.129011692114%3Athrowback_story_fbid.10157150906107115%3Apage_id.129011692114%3Astory_location.4%3Astory_attachment_style.share%3Atds_flgs.3%3Apage_insights.%7B%22129011692114%22%3A%7B%22page_id%22%3A129011692114%2C%22page_id_type%22%3A%22page%22%2C%22actor_id%22%3A129011692114%2C%22dm%22%3A%7B%22isShare%22%3A1%2C%22originalPostOwnerID%22%3A0%7D%2C%22psn%22%3A%22EntStatusCreationStory%22%2C%22post_context%22%3A%7B%22object_fbtype%22%3A266%2C%22publish_time%22%3A1592954138%2C%22story_name%22%3A%22EntStatusCreationStory%22%2C%22story_fbid%22%3A%5B10157150906107115%5D%7D%2C%22role%22%3A1%2C%22sl%22%3A4%2C%22targets%22%3A%5B%7B%22actor_id%22%3A129011692114%2C%22page_id%22%3A129011692114%2C%22post_id%22%3A10157150906107115%2C%22role%22%3A1%2C%22share_id%22%3A0%7D%5D%7D%7D%3Athid.129011692114%3A306061129499414%3A2%3A0%3A1593586799%3A-5424301327094026844&__tn__=%2AW-R
